tr,sigma,phi
-0.224879,0.637114,0.637114
-0.223202,0.636152,0.636152
-0.22277,0.639695,0.639695
-0.227614,0.637907,0.637907
-0.223897,0.639463,0.639463
-0.230237,0.632813,0.632813
-0.224104,0.637066,0.637066
-0.222809,0.634262,0.634262
-0.223718,0.636585,0.636585
-0.220743,0.638533,0.638533
-0.224797,0.634446,0.634446
-0.224498,0.634679,0.634679
-0.226996,0.632412,0.632412
-0.229101,0.635582,0.635582
-0.223847,0.633809,0.633809
-0.220406,0.63481,0.63481
-0.224565,0.635978,0.635978
-0.225,0.636727,0.636727
-0.224349,0.633312,0.633312
-0.226709,0.631352,0.631352
-0.223822,0.635692,0.635692
-0.21919,0.638367,0.638367
-0.228506,0.63706,0.63706
-0.226603,0.634776,0.634776
-0.223466,0.63177,0.63177
-0.220623,0.643157,0.643157
-0.224302,0.634797,0.634797
-0.22137,0.637566,0.637566
-0.226315,0.635921,0.635921
-0.225976,0.633945,0.633945
-0.222205,0.637537,0.637537
-0.227054,0.638466,0.638466
-0.226981,0.637778,0.637778
-0.223072,0.632605,0.632605
-0.226757,0.640035,0.640035
-0.226375,0.637451,0.637451
-0.219988,0.636755,0.636755
-0.226804,0.630891,0.630891
-0.232308,0.634778,0.634778
-0.22557,0.634829,0.634829
-0.228481,0.635258,0.635258
-0.219862,0.633784,0.633784
-0.222817,0.633382,0.633382
-0.224543,0.637237,0.637237
-0.225227,0.634597,0.634597
-0.223734,0.634513,0.634513
-0.228429,0.639792,0.639792
-0.223443,0.635189,0.635189
-0.221955,0.635822,0.635822
-0.227177,0.638286,0.638286
-0.22562,0.634342,0.634342
-0.22615,0.634885,0.634885
-0.22564,0.633844,0.633844
-0.221539,0.639652,0.639652
-0.22543,0.634961,0.634961
-0.227442,0.636126,0.636126
-0.226798,0.640074,0.640074
-0.223272,0.634059,0.634059
-0.221526,0.637654,0.637654
-0.227992,0.636257,0.636257
-0.220019,0.639275,0.639275
-0.231355,0.63814,0.63814
-0.230211,0.636115,0.636115
-0.224692,0.636544,0.636544
-0.223007,0.639217,0.639217
-0.227358,0.63811,0.63811
-0.218973,0.637722,0.637722
-0.22483,0.635161,0.635161
-0.230351,0.640864,0.640864
-0.232929,0.635633,0.635633
-0.222166,0.641043,0.641043
-0.228431,0.635541,0.635541
-0.230222,0.636361,0.636361
-0.228905,0.63514,0.63514
-0.220476,0.641099,0.641099
-0.229787,0.637885,0.637885
-0.225196,0.63472,0.63472
-0.225893,0.633251,0.633251
-0.223891,0.640595,0.640595
-0.227105,0.633406,0.633406
-0.221383,0.634942,0.634942
-0.218959,0.635374,0.635374
-0.223514,0.638193,0.638193
-0.225588,0.638044,0.638044
-0.225111,0.636192,0.636192
-0.230743,0.635668,0.635668
-0.228989,0.632739,0.632739
-0.229508,0.633027,0.633027
-0.227683,0.637532,0.637532
-0.228161,0.631456,0.631456
-0.226656,0.635332,0.635332
-0.227634,0.635252,0.635252
-0.226792,0.634836,0.634836
-0.230119,0.634914,0.634914
-0.223472,0.636684,0.636684
-0.222871,0.637953,0.637953
-0.227131,0.630198,0.630198
-0.231957,0.63649,0.63649
-0.219614,0.635545,0.635545
-0.224444,0.637292,0.637292
-0.220214,0.641524,0.641524
-0.220431,0.638035,0.638035
-0.225006,0.633846,0.633846
-0.222158,0.637129,0.637129
-0.224007,0.635043,0.635043
-0.226159,0.63272,0.63272
-0.222837,0.638385,0.638385
-0.227067,0.637526,0.637526
-0.227313,0.63591,0.63591
-0.224599,0.633155,0.633155
-0.225799,0.635488,0.635488
-0.223024,0.638852,0.638852
-0.225554,0.636825,0.636825
-0.229929,0.636864,0.636864
-0.222899,0.636637,0.636637
-0.221889,0.637316,0.637316
-0.228716,0.62997,0.62997
-0.222316,0.637986,0.637986
-0.226192,0.636253,0.636253
-0.221892,0.636538,0.636538
-0.229821,0.632366,0.632366
-0.227623,0.636587,0.636587
-0.226707,0.635479,0.635479
-0.229284,0.634749,0.634749
-0.22017,0.633935,0.633935
-0.226619,0.639168,0.639168
-0.227337,0.633163,0.633163
-0.222658,0.637267,0.637267
-0.222765,0.637408,0.637408
-0.228431,0.635524,0.635524
-0.223714,0.640501,0.640501
-0.233027,0.634741,0.634741
-0.22356,0.635441,0.635441
-0.227772,0.642108,0.642108
-0.226689,0.633974,0.633974
-0.22052,0.6391,0.6391
-0.230585,0.63141,0.63141
-0.224717,0.632162,0.632162
-0.223332,0.632791,0.632791
-0.224902,0.636465,0.636465
-0.22572,0.639067,0.639067
-0.230312,0.636181,0.636181
-0.224986,0.639507,0.639507
-0.223474,0.641035,0.641035
-0.22542,0.634165,0.634165
-0.224692,0.630298,0.630298
-0.22715,0.638634,0.638634
-0.228933,0.635904,0.635904
-0.219305,0.638756,0.638756
-0.223359,0.636479,0.636479
-0.227538,0.637029,0.637029
-0.224042,0.633944,0.633944
-0.226145,0.63282,0.63282
-0.219159,0.633248,0.633248
-0.226893,0.630951,0.630951
-0.227276,0.633406,0.633406
-0.223627,0.630079,0.630079
-0.221149,0.63927,0.63927
-0.223355,0.641164,0.641164
-0.221351,0.637419,0.637419
-0.226377,0.638342,0.638342
-0.228447,0.637493,0.637493
-0.226918,0.639615,0.639615
-0.227149,0.630244,0.630244
-0.218985,0.638603,0.638603
-0.229932,0.638964,0.638964
-0.226712,0.632853,0.632853
-0.21992,0.634869,0.634869
-0.225448,0.638003,0.638003
-0.229244,0.634212,0.634212
-0.221516,0.637397,0.637397
-0.2293,0.637351,0.637351
-0.222628,0.637993,0.637993
-0.221965,0.638195,0.638195
-0.219951,0.637455,0.637455
-0.223546,0.636644,0.636644
-0.222493,0.630651,0.630651
-0.222073,0.639965,0.639965
-0.231057,0.632474,0.632474
-0.223829,0.63743,0.63743
-0.21909,0.637921,0.637921
-0.2269,0.634997,0.634997
-0.227969,0.634536,0.634536
-0.224802,0.638113,0.638113
-0.224607,0.637578,0.637578
-0.223358,0.634523,0.634523
-0.228212,0.638803,0.638803
-0.221412,0.635293,0.635293
-0.228102,0.637548,0.637548
-0.228288,0.637442,0.637442
-0.231223,0.637176,0.637176
-0.22711,0.632309,0.632309
-0.220213,0.635439,0.635439
-0.223133,0.641425,0.641425
-0.225656,0.632006,0.632006
-0.23147,0.62907,0.62907
-0.229685,0.637882,0.637882
-0.223225,0.637823,0.637823
-0.22008,0.635722,0.635722
-0.227877,0.631866,0.631866
-0.219514,0.639164,0.639164
-0.22619,0.640285,0.640285
-0.227174,0.639965,0.639965
-0.227743,0.633495,0.633495
-0.226205,0.637202,0.637202
-0.223981,0.633956,0.633956
-0.22568,0.639119,0.639119
-0.224416,0.637579,0.637579
-0.221749,0.633505,0.633505
-0.225334,0.635427,0.635427
-0.226492,0.631276,0.631276
-0.223017,0.633474,0.633474
-0.227301,0.638898,0.638898
-0.225467,0.640783,0.640783
-0.225946,0.638736,0.638736
-0.219297,0.640636,0.640636
-0.224399,0.637119,0.637119
-0.222228,0.637215,0.637215
-0.228558,0.636807,0.636807
-0.222511,0.634049,0.634049
-0.228503,0.635042,0.635042
-0.222998,0.639919,0.639919
-0.227821,0.633899,0.633899
-0.228567,0.633271,0.633271
-0.223809,0.635957,0.635957
-0.218882,0.637533,0.637533
-0.219771,0.638067,0.638067
-0.218236,0.637228,0.637228
-0.22135,0.632545,0.632545
-0.225619,0.634826,0.634826
-0.228197,0.632514,0.632514
-0.222313,0.632699,0.632699
-0.230845,0.63341,0.63341
-0.226793,0.631949,0.631949
-0.224858,0.635709,0.635709
-0.226736,0.637665,0.637665
-0.225648,0.639974,0.639974
-0.222836,0.631494,0.631494
-0.23036,0.630885,0.630885
-0.220035,0.634127,0.634127
-0.222058,0.633686,0.633686
-0.224398,0.636859,0.636859
-0.229892,0.638319,0.638319
-0.227673,0.630518,0.630518
-0.224196,0.639542,0.639542
-0.226271,0.635771,0.635771
-0.224107,0.636932,0.636932
-0.220929,0.630577,0.630577
-0.220972,0.633385,0.633385
-0.223606,0.633247,0.633247
-0.222497,0.631369,0.631369
-0.224792,0.632185,0.632185
-0.227391,0.636697,0.636697
-0.226491,0.636733,0.636733
-0.228408,0.635283,0.635283
-0.224537,0.633351,0.633351
-0.224336,0.635134,0.635134
-0.22727,0.637755,0.637755
-0.225962,0.637243,0.637243
-0.221573,0.634968,0.634968
-0.224074,0.632935,0.632935
-0.221731,0.63878,0.63878
-0.220254,0.631194,0.631194
-0.223716,0.638413,0.638413
-0.224826,0.63686,0.63686
-0.228094,0.635239,0.635239
-0.23356,0.636937,0.636937
-0.226816,0.637414,0.637414
-0.222713,0.634931,0.634931
-0.228139,0.633246,0.633246
-0.221634,0.636234,0.636234
-0.22223,0.636433,0.636433
-0.222741,0.637569,0.637569
-0.227361,0.632922,0.632922
-0.225043,0.637137,0.637137
-0.224789,0.639002,0.639002
-0.225901,0.639255,0.639255
-0.222137,0.637823,0.637823
-0.22812,0.635746,0.635746
-0.223355,0.635386,0.635386
-0.229492,0.634305,0.634305
-0.226308,0.635756,0.635756
-0.224435,0.635912,0.635912
-0.222487,0.6301,0.6301
-0.222414,0.641795,0.641795
-0.227602,0.636691,0.636691
-0.22593,0.634295,0.634295
-0.228752,0.636154,0.636154
-0.224893,0.633173,0.633173
-0.225304,0.632676,0.632676
-0.222406,0.637639,0.637639
-0.229537,0.636453,0.636453
-0.230619,0.636326,0.636326
-0.227002,0.64172,0.64172
-0.222536,0.635942,0.635942
-0.223756,0.636056,0.636056
-0.22426,0.635946,0.635946
-0.221552,0.632448,0.632448
-0.225824,0.635247,0.635247
-0.217694,0.635187,0.635187
-0.222602,0.635333,0.635333
-0.224309,0.635217,0.635217
-0.217814,0.639641,0.639641
-0.222689,0.636164,0.636164
-0.22397,0.631715,0.631715
-0.225628,0.632772,0.632772
-0.226457,0.637619,0.637619
-0.220667,0.637253,0.637253
-0.23052,0.631979,0.631979
-0.224939,0.633631,0.633631
-0.220509,0.637548,0.637548
-0.227436,0.639426,0.639426
-0.223017,0.638411,0.638411
-0.221111,0.637577,0.637577
-0.226678,0.635925,0.635925
-0.22494,0.634349,0.634349
-0.224816,0.640437,0.640437
-0.225131,0.631629,0.631629
-0.220218,0.635146,0.635146
-0.229078,0.634019,0.634019
-0.219174,0.634674,0.634674
-0.224877,0.634162,0.634162
-0.219814,0.631806,0.631806
-0.224577,0.639148,0.639148
-0.224628,0.631882,0.631882
-0.228201,0.634521,0.634521
-0.221201,0.637048,0.637048
-0.226849,0.637699,0.637699
-0.226181,0.636055,0.636055
-0.224831,0.635768,0.635768
-0.22531,0.634534,0.634534
-0.229267,0.640429,0.640429
-0.22574,0.633874,0.633874
-0.222291,0.638613,0.638613
-0.228435,0.637008,0.637008
-0.227144,0.640405,0.640405
-0.230799,0.634512,0.634512
-0.227571,0.637925,0.637925
-0.223037,0.633717,0.633717
-0.226921,0.636941,0.636941
-0.225228,0.638884,0.638884
-0.222115,0.640836,0.640836
-0.226797,0.636173,0.636173
-0.226722,0.634815,0.634815
-0.221549,0.634058,0.634058
-0.223434,0.641643,0.641643
-0.227312,0.634775,0.634775
-0.226081,0.639927,0.639927
-0.220575,0.636382,0.636382
-0.228817,0.636504,0.636504
-0.225826,0.63638,0.63638
-0.226528,0.639938,0.639938
-0.218967,0.633445,0.633445
-0.226342,0.639874,0.639874
-0.228119,0.633843,0.633843
-0.224804,0.639283,0.639283
-0.220205,0.634151,0.634151
-0.222227,0.637614,0.637614
-0.221262,0.637266,0.637266
-0.221961,0.638194,0.638194
-0.223683,0.63477,0.63477
-0.227779,0.63771,0.63771
-0.226564,0.633413,0.633413
-0.226248,0.639098,0.639098
-0.220676,0.633094,0.633094
-0.224666,0.637064,0.637064
-0.222778,0.634157,0.634157
-0.227395,0.633342,0.633342
-0.231015,0.636152,0.636152
-0.227943,0.638458,0.638458
-0.220688,0.642596,0.642596
-0.231398,0.633597,0.633597
-0.221925,0.63639,0.63639
-0.225038,0.635554,0.635554
-0.229741,0.639155,0.639155
-0.22598,0.636531,0.636531
-0.229181,0.630812,0.630812
-0.230691,0.635406,0.635406
-0.2249,0.639356,0.639356
-0.219932,0.638487,0.638487
-0.22212,0.637585,0.637585
-0.226583,0.640793,0.640793
-0.223351,0.636848,0.636848
-0.226852,0.633963,0.633963
-0.220194,0.636773,0.636773
-0.225402,0.634609,0.634609
-0.221008,0.634975,0.634975
-0.224911,0.634906,0.634906
-0.221407,0.633104,0.633104
-0.21784,0.638986,0.638986
-0.225023,0.634937,0.634937
-0.224951,0.639861,0.639861
-0.226054,0.63645,0.63645
-0.224761,0.636432,0.636432
-0.22373,0.63365,0.63365
-0.224784,0.633745,0.633745
-0.222589,0.638224,0.638224
-0.220347,0.640075,0.640075
-0.22521,0.636828,0.636828
-0.226509,0.63745,0.63745
-0.231952,0.636077,0.636077
-0.224403,0.637607,0.637607
-0.224541,0.635979,0.635979
-0.227806,0.642068,0.642068
-0.225722,0.636624,0.636624
-0.221615,0.63669,0.63669
-0.228451,0.637265,0.637265
-0.230382,0.637645,0.637645
-0.225538,0.640203,0.640203
-0.226765,0.634361,0.634361
-0.226385,0.640322,0.640322
-0.223543,0.636438,0.636438
-0.227986,0.635059,0.635059
-0.226518,0.633189,0.633189
-0.223789,0.634117,0.634117
-0.226371,0.642077,0.642077
-0.226089,0.633109,0.633109
-0.227828,0.632245,0.632245
-0.225287,0.642815,0.642815
-0.22779,0.637904,0.637904
-0.224891,0.632328,0.632328
-0.231195,0.634094,0.634094
-0.219124,0.632841,0.632841
-0.228818,0.631401,0.631401
-0.223617,0.632774,0.632774
-0.227929,0.637647,0.637647
-0.229039,0.634264,0.634264
-0.225666,0.636507,0.636507
-0.225925,0.632417,0.632417
-0.222648,0.635513,0.635513
-0.223393,0.636568,0.636568
-0.222728,0.633155,0.633155
-0.22046,0.636062,0.636062
-0.223724,0.631803,0.631803
-0.225997,0.632466,0.632466
-0.227713,0.63703,0.63703
-0.22782,0.63871,0.63871
-0.221529,0.633226,0.633226
-0.224283,0.631839,0.631839
-0.221558,0.631145,0.631145
-0.227738,0.634093,0.634093
-0.228161,0.632879,0.632879
-0.227778,0.640763,0.640763
-0.220765,0.639516,0.639516
-0.231204,0.635386,0.635386
-0.224907,0.64137,0.64137
-0.222045,0.631315,0.631315
-0.226497,0.637189,0.637189
-0.235766,0.635136,0.635136
-0.223729,0.640146,0.640146
-0.230271,0.634333,0.634333
-0.218025,0.640008,0.640008
-0.221246,0.639966,0.639966
-0.221289,0.642028,0.642028
-0.231105,0.635141,0.635141
-0.221576,0.635633,0.635633
-0.230313,0.635191,0.635191
-0.224157,0.633833,0.633833
-0.229982,0.635932,0.635932
-0.224538,0.635695,0.635695
-0.228004,0.633151,0.633151
-0.22264,0.630503,0.630503
-0.225443,0.631946,0.631946
-0.223222,0.637967,0.637967
-0.229971,0.634971,0.634971
-0.221482,0.636181,0.636181
-0.228015,0.635951,0.635951
-0.232937,0.638796,0.638796
-0.2269,0.63833,0.63833
-0.232283,0.635484,0.635484
-0.221673,0.641431,0.641431
-0.227231,0.635891,0.635891
-0.222247,0.64037,0.64037
-0.227509,0.634586,0.634586
-0.217776,0.632509,0.632509
-0.220295,0.635576,0.635576
-0.22303,0.6366,0.6366
-0.226386,0.639908,0.639908
-0.227233,0.639191,0.639191
-0.225426,0.63423,0.63423
-0.227603,0.638505,0.638505
-0.22514,0.633022,0.633022
-0.22261,0.637396,0.637396
-0.225975,0.627907,0.627907
-0.223114,0.635671,0.635671
-0.223434,0.634478,0.634478
-0.224173,0.636921,0.636921
-0.217724,0.636618,0.636618
-0.224432,0.633859,0.633859
-0.226642,0.634665,0.634665
-0.228669,0.634874,0.634874
-0.222023,0.639271,0.639271
-0.227822,0.632587,0.632587
-0.225014,0.635853,0.635853
-0.226471,0.634846,0.634846
-0.228099,0.63714,0.63714
-0.224103,0.633196,0.633196
-0.220472,0.631258,0.631258
-0.224569,0.633968,0.633968
